,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
100,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2876,1.0,181680.0,177697.0,0.0,0.2329
101,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1917,1.0,184581.0,183069.0,0.0,0.2371
102,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),958,1.0,236706.0,197608.0,0.0,0.2983
103,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),383,1.0,249606.0,230874.0,0.0,0.3083
104,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),3451,1.0,1961.0,3476.0,0.0,0.0031
105,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2876,1.0,1978.0,3407.0,0.0,0.0028
106,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1917,1.0,2107.0,2687.0,0.0,0.0027
107,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),958,1.0,2387.0,2723.0,0.0,0.0026
108,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),383,1.0,2629.0,2839.0,0.0,0.0025
109,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",3451,1.0,2668.0,1637.0,6.0,0.0029
110,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2876,1.0,2524.0,1637.0,6.0,0.0026
111,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1917,1.0,2388.0,1637.0,6.0,0.0022
112,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",958,1.0,2849.0,2010.0,7.0,0.0022
113,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",383,1.0,4109.0,2900.0,12.0,0.0029
114,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*,26656.0,1.0,4527.0,4449.0,0.0,0.0102
